
AC4_ARRANGE_CHAR    0,20220314,09390875,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OMIT_ZD_LE      0,20220314,09415753,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OMIT_ZD_LE      1,20211108,11010771,OK,    ,    ,            ,            ,OK
MVS_OMIT_ZD_LE      2,20211108,10332315,OK,    ,    ,            ,            ,OK
MVS_OUTF2_001A      0,20220314,09420042,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OUTF2_001A      1,20211108,11010987,OK,    ,    ,            ,            ,OK
MVS_OUTF2_001B      0,20220314,09420045,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OUT_001         0,20220314,09420330,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OUT_001         1,20211108,11011188,OK,    ,    ,            ,            ,OK
MVS_OUT_001         2,20211108,10345899,OK,    ,    ,            ,            ,OK
MVS_OUT_002         0,20220314,09420600,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OUT_002         1,20211108,11011396,OK,    ,    ,            ,            ,OK
MVS_OUT_002         2,20211108,10360481,OK,    ,    ,            ,            ,OK
MVS_OUT_003         0,20220314,09420870,OK,    ,    ,Juichi      ,DELL1195    ,
MVS_OUT_003         1,20211108,11011599,OK,    ,    ,            ,            ,OK
MVS_OUT_003         2,20211108,10370572,OK,    ,    ,            ,            ,OK